path,rows,timeused(s),timeused(m),avgtime,messageDate
Step01,60000,270.18,4.50,0.0045,20161231
Step02,60000,197.96,3.30,0.0033,20171231
Step03,5400,507.53,8.46,0.0940,20170201
Step04,54000,6108.15,101.80,0.1131,20170201
Step05,5400,347.11,5.79,0.0643,20170201
Step06,54000,2482.49,41.37,0.0460,20170201
Step07,5400,1644.10,27.40,0.3045,20170201
Step08,5400,986.99,16.45,0.1828,20170301
Step09,54000,3421.73,57.03,0.0634,20170401
Step10,20000,1391.23,23.19,0.0696,20170302
Step11,20000,1486.81,24.78,0.0743,20170302
Step12,5400,427.76,7.13,0.0792,20170410
Step13,54000,3454.28,57.57,0.0640,20170310
